Id,Parent,Label
164,20,Soda4
165,20,Soda5
166,20,Soda6
167,20,Soda7
168,20,Soda8
169,21,Milk1
170,21,Milk2
171,21,Milk3
172,21,Milk4
173,21,Milk5
174,21,Milk6
175,21,Milk7
176,21,Milk8
177,22,Yogurt1
178,22,Yogurt2
179,22,Yogurt3
180,22,Yogurt4
181,22,Yogurt5
182,22,Yogurt6
183,22,Yogurt7
184,22,Yogurt8
185,23,Beer1
186,23,Beer2
187,23,Beer3
188,23,Beer4
189,23,Beer5
190,23,Beer6
191,23,Beer7
192,23,Beer8
193,24,Wine1
194,24,Wine2
195,24,Wine3
196,24,Wine4
197,24,Wine5
198,24,Wine6
199,24,Wine7
200,24,Wine8
201,25,Hat1
202,25,Hat2
203,25,Hat3
204,25,Hat4
205,25,Hat5
206,25,Hat6
207,25,Hat7
208,25,Hat8
209,26,T-Shirt1
210,26,T-Shirt2
211,26,T-Shirt3
212,26,T-Shirt4
213,26,T-Shirt5
214,26,T-Shirt6
215,26,T-Shirt7
216,26,T-Shirt8
217,27,Shorts1
218,27,Shorts2
219,27,Shorts3
220,27,Shorts4
221,27,Shorts5
222,27,Shorts6
223,27,Shorts7
224,27,Shorts8
225,28,Jeans1
226,28,Jeans2
227,28,Jeans3
228,28,Jeans4
229,28,Jeans5
230,28,Jeans6
231,28,Jeans7
232,28,Jeans8
233,29,Blouse1
234,29,Blouse2
235,29,Blouse3
236,29,Blouse4
237,29,Blouse5
238,29,Blouse6
239,29,Blouse7
240,29,Blouse8
241,30,Socks1
242,30,Socks2
243,30,Socks3
244,30,Socks4
245,30,Socks5
246,30,Socks6
247,30,Socks7
248,30,Socks8
249,31,Jacket1
250,31,Jacket2
251,31,Jacket3
252,31,Jacket4
253,31,Jacket5
254,31,Jacket6
255,31,Jacket7
256,31,Jacket8
257,32,Skirt1
258,32,Skirt2
259,32,Skirt3
260,32,Skirt4
261,32,Skirt5
262,32,Skirt6
263,32,Skirt7
264,32,Skirt8
265,33,Cat1
266,33,Cat2
267,33,Cat3
268,33,Cat4
269,33,Cat5
270,33,Cat6
271,33,Cat7
272,33,Cat8
273,34,Dog1
274,34,Dog2
275,34,Dog3
276,34,Dog4
277,34,Dog5
278,34,Dog6
279,34,Dog7
280,34,Dog8
281,35,Fish1
282,35,Fish2
283,35,Fish3
284,35,Fish4
285,35,Fish5
286,35,Fish6
287,35,Fish7
288,35,Fish8
289,36,Pig1
290,36,Pig2
291,36,Pig3
292,36,Pig4
293,36,Pig5
294,36,Pig6
295,36,Pig7
296,36,Pig8
297,37,Cow1
298,37,Cow2
299,37,Cow3
300,37,Cow4
301,37,Cow5
302,37,Cow6
303,37,Cow7
304,37,Cow8
305,38,Chicken1
306,38,Chicken2
307,38,Chicken3
308,38,Chicken4
309,38,Chicken5
310,38,Chicken6
311,38,Chicken7
312,38,Chicken8
313,39,Tiger1
314,39,Tiger2
315,39,Tiger3
316,39,Tiger4
317,39,Tiger5
318,39,Tiger6
319,39,Tiger7
320,39,Tiger8
321,40,Elephant1
322,40,Elephant2
323,40,Elephant3
324,40,Elephant4
325,40,Elephant5
326,40,Elephant6
327,40,Elephant7
328,40,Elephant8
329,41,Bus1
330,41,Bus2
331,41,Bus3
332,41,Bus4
333,41,Bus5
334,41,Bus6
335,41,Bus7
336,41,Bus8
337,42,Taxi1
338,42,Taxi2
339,42,Taxi3
340,42,Taxi4
341,42,Taxi5
342,42,Taxi6
343,42,Taxi7
344,42,Taxi8
345,43,Train1
346,43,Train2
347,43,Train3
348,43,Train4
349,43,Train5
350,43,Train6
351,43,Train7
352,43,Train8
353,44,Airplane1
354,44,Airplane2
355,44,Airplane3
356,44,Airplane4
357,44,Airplane5
358,44,Airplane6
359,44,Airplane7
360,44,Airplane8
361,45,Bike1
362,45,Bike2
363,45,Bike3
364,45,Bike4
365,45,Bike5
366,45,Bike6
367,45,Bike7
368,45,Bike8
369,46,Truck1
370,46,Truck2
371,46,Truck3
372,46,Truck4
373,46,Truck5
374,46,Truck6
375,46,Truck7
376,46,Truck8
377,47,Ferry1
378,47,Ferry2
379,47,Ferry3
380,47,Ferry4
381,47,Ferry5
382,47,Ferry6
383,47,Ferry7
384,47,Ferry8
385,48,Cruise1
386,48,Cruise2
387,48,Cruise3
388,48,Cruise4
389,48,Cruise5
390,48,Cruise6
391,48,Cruise7
392,48,Cruise8
393,49,Bed1
394,49,Bed2
395,49,Bed3
396,49,Bed4
397,49,Bed5
398,49,Bed6
399,49,Bed7
400,49,Bed8
401,50,Table1
402,50,Table2
403,50,Table3
404,50,Table4
405,50,Table5
406,50,Table6
407,50,Table7
408,50,Table8
409,51,Chair1
410,51,Chair2
411,51,Chair3
412,51,Chair4
413,51,Chair5
414,51,Chair6
415,51,Chair7
416,51,Chair8
417,52,Stool1
418,52,Stool2
419,52,Stool3
420,52,Stool4
421,52,Stool5
422,52,Stool6
423,52,Stool7
424,52,Stool8
425,53,Sofa1
426,53,Sofa2
427,53,Sofa3
428,53,Sofa4
429,53,Sofa5
430,53,Sofa6
431,53,Sofa7
432,53,Sofa8
433,54,Couch1
434,54,Couch2
435,54,Couch3
436,54,Couch4
437,54,Couch5
438,54,Couch6
439,54,Couch7
440,54,Couch8
441,55,Cabinet1
442,55,Cabinet2
443,55,Cabinet3
444,55,Cabinet4
445,55,Cabinet5
446,55,Cabinet6
447,55,Cabinet7
448,55,Cabinet8
449,56,Drawer1
450,56,Drawer2
451,56,Drawer3
452,56,Drawer4
453,56,Drawer5
454,56,Drawer6
455,56,Drawer7
456,56,Drawer8
457,57,Pen1
458,57,Pen2
459,57,Pen3
460,57,Pen4
461,57,Pen5
462,57,Pen6
463,57,Pen7
464,57,Pen8
465,58,Highlighter1
466,58,Highlighter2
467,58,Highlighter3
468,58,Highlighter4
469,58,Highlighter5
470,58,Highlighter6
471,58,Highlighter7
472,58,Highlighter8
473,59,Eraser1
474,59,Eraser2
475,59,Eraser3
476,59,Eraser4
477,59,Eraser5
478,59,Eraser6
479,59,Eraser7
480,59,Eraser8
481,60,Pencil1
482,60,Pencil2
483,60,Pencil3
484,60,Pencil4
485,60,Pencil5
486,60,Pencil6
487,60,Pencil7
488,60,Pencil8
489,61,Ruler1
490,61,Ruler2
491,61,Ruler3
492,61,Ruler4
493,61,Ruler5
494,61,Ruler6
495,61,Ruler7
496,61,Ruler8
497,62,Glue1
498,62,Glue2
499,62,Glue3
500,62,Glue4
501,62,Glue5
502,62,Glue6
503,62,Glue7
504,62,Glue8
505,63,Calculator1
506,63,Calculator2
507,63,Calculator3
508,63,Calculator4
509,63,Calculator5
510,63,Calculator6
511,63,Calculator7
512,63,Calculator8
513,64,Scissor1
514,64,Scissor2
515,64,Scissor3
516,64,Scissor4
517,64,Scissor5
518,64,Scissor6
519,64,Scissor7
520,64,Scissor8
521,65,Cello1
522,65,Cello2
523,65,Cello3
524,65,Cello4
525,65,Cello5
526,65,Cello6
527,65,Cello7
528,65,Cello8
529,66,Drum1
530,66,Drum2
531,66,Drum3
532,66,Drum4
533,66,Drum5
534,66,Drum6
535,66,Drum7
536,66,Drum8
537,67,Flute1
538,67,Flute2
539,67,Flute3
540,67,Flute4
541,67,Flute5
542,67,Flute6
543,67,Flute7
544,67,Flute8
545,68,Guitar1
546,68,Guitar2
547,68,Guitar3
548,68,Guitar4
549,68,Guitar5
550,68,Guitar6
551,68,Guitar7
552,68,Guitar8
553,69,Piano1
554,69,Piano2
555,69,Piano3
556,69,Piano4
557,69,Piano5
558,69,Piano6
559,69,Piano7
560,69,Piano8
561,70,Violin1
562,70,Violin2
563,70,Violin3
564,70,Violin4
565,70,Violin5
566,70,Violin6
567,70,Violin7
568,70,Violin8
569,71,Trumpet1
570,71,Trumpet2
571,71,Trumpet3
572,71,Trumpet4
573,71,Trumpet5
574,71,Trumpet6
575,71,Trumpet7
576,71,Trumpet8
577,72,Saxophone1
578,72,Saxophone2
579,72,Saxophone3
580,72,Saxophone4
581,72,Saxophone5
582,72,Saxophone6
583,72,Saxophone7
584,72,Saxophone8
